Date,Open_Price,High_Price,Low_Price,Close_Price,Volume,Moving_Avg_7,Moving_Avg_30,Volatility,RSI
1990-01-01,50381.59736709256,52295.056944921635,48754.70605387759,49450.823866034676,2476,49450.823866034676,49450.82386603466,0.025217720793513865,54.235666395422754
1990-01-02,49406.82488351412,51105.44654427849,48256.739541937124,49753.95319201357,1778,49753.95319201356,49753.95319201356,0.06440291986391848,43.682184561638906
1990-01-03,49584.13860080489,52017.2318490353,47190.47790820221,49053.47589371644,4515,49053.47589371644,49053.475893716415,0.05455923239152424,65.49320496125894
1990-01-04,48083.51199884597,50282.2669111482,46404.49698911339,47133.68024238342,2180,47133.68024238343,47133.680242383416,0.0820384353992581,67.81362722536416
1990-01-05,47247.201554134524,49540.89096545341,46097.46705455017,47679.50487017947,1798,47679.504870179466,47679.504870179495,0.09226074182392197,45.02590579880867
1990-01-06,47038.89940562369,48328.32695551298,45984.96996987593,47100.00633660658,2961,47100.00633660658,47100.00633660658,0.05954693846703007,30.119252940625056
1990-01-07,47560.25618342661,48177.13734654842,46828.84789747689,46948.621699462485,3436,46948.62169946248,46948.62169946248,0.03796816458216506,31.883621151992628
1990-01-08,47064.43359592696,48964.80642522596,45798.151971858606,46918.49708692158,3715,46918.49708692158,46918.49708692156,0.06340978395993839,58.09456292539531
1990-01-09,47401.70471155852,49695.26043222002,46547.48379171514,47090.72442672584,1652,47090.724426725836,47090.72442672585,0.045035103852348525,40.30278078654304
1990-01-10,46466.61339964853,47917.11842407789,45796.733759202165,46328.70814471059,1835,46328.70814471058,46328.7081447106,0.03859966422277605,67.13883134645363
1990-01-11,46021.41631628692,46591.469222261294,44553.19310060413,44735.57051411998,3937,44735.57051411998,44735.570514119965,0.09877137807459996,44.1016527505261
1990-01-12,44057.123445098696,45551.88478763587,43590.130623848636,45312.68731440599,3059,45312.68731440599,45312.687314406,0.09776394259668385,45.56956482051586
1990-01-13,46209.80776730191,47981.49129176208,44099.61782961216,45244.42445023631,4156,45244.42445023631,45244.42445023632,0.07944451911105929,54.658193078240984
1990-01-14,44838.64603690906,45963.17375604893,44294.65166481069,45647.921137244906,1803,45647.921137244906,45647.921137244906,0.06713344445102865,64.53795815110671
